Title_id,Age,IMDb,Rotten_tomatoes
1048,7+,6.4,
1049,16+,6.1,
1050,16+,8.4,
1051,18+,6.5,
1052,7+,6.6,
1053,7+,6.1,
1054,,7.3,
1055,18+,6.6,
1056,,7.7,43%
1057,7+,6.9,
1058,18+,7.2,
1059,,6.3,
1060,18+,7.0,
1061,,7.2,
1062,,5.5,
1063,7+,6.3,
1064,,6.9,67%
1065,18+,5.8,
1066,7+,8.0,
1067,,7.6,
1068,18+,7.7,
1069,,7.6,
1070,all,5.3,
1071,18+,7.7,
1072,,6.8,
1073,16+,8.1,
1074,7+,6.4,
1075,,7.5,
1076,16+,7.5,
1077,7+,6.5,
1078,18+,8.3,
1079,7+,8.0,
1080,all,6.1,
1081,16+,8.1,
1082,all,6.9,
1083,7+,7.8,
1084,all,5.7,
1085,all,7.2,
1086,,8.1,
1087,,6.8,
1088,7+,6.7,
1089,,6.8,
1090,18+,7.6,
1091,18+,6.5,
1092,,6.5,
1093,18+,6.4,
1094,,8.5,
1095,16+,7.7,
1096,,7.6,
1097,,6.3,
1098,18+,6.4,
1099,18+,7.3,
1100,,7.6,
1101,,6.3,
1102,16+,6.9,
1103,7+,3.6,75%
1104,16+,6.7,
1105,16+,7.6,
1106,18+,6.9,
1107,18+,6.1,41%
1108,18+,8.1,
1109,18+,5.6,
1110,18+,7.5,
1111,16+,7.4,
1112,18+,6.1,
1113,,7.7,
1114,18+,5.9,
1115,all,7.9,
1116,7+,6.5,
1117,13+,6.6,50%
1118,7+,6.9,
1119,all,5.4,80%
1120,18+,6.1,
1121,7+,3.8,
1122,7+,8.3,
1123,,8.3,
1124,13+,6.4,37%
1125,all,5.9,
1126,18+,7.0,
1127,18+,7.2,
1128,,5.8,
1129,7+,7.6,
1130,18+,6.6,
1131,,6.3,
1132,,7.1,
1133,,7.7,
1134,18+,8.0,
1135,7+,6.5,
1136,18+,7.2,
1137,all,,
1138,,8.9,
1139,all,8.1,
1140,16+,7.1,
1141,,7.6,
